id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
TR134A		134	追分	Zhuifen	追分	おいわけ	줴이펜			臺中市大肚區	TR148A	2.20	TR149	7.1												
route	272D75		平溪線	Pingxi Line	平溪線																					
TR087A		87	三貂嶺	Sandiaoling	三貂嶺	さんちょうれい	산댜오링			新北市瑞芳區	TR088	2.50	TR231	3.5												
TR231		231	大華	Dahua	大華	だいか	다화			新北市平溪區	TR087A	3.50	TR232	2.9												
TR232		232	十分	Shihfen	十分	じゅんぶん	스펀			新北市平溪區	TR231	2.90	TR233	1.8												
TR233		233	望古	Wanggu	望古	ぼうこ	왕구			新北市平溪區	TR232	1.80	TR234	2.2												
TR234		234	嶺腳	Lingjiao	嶺脚	れいきゃく	링쟈오			新北市平溪區	TR233	2.20	TR235	1												
TR235		235	平溪	Pingxi	平渓	へいけい	핑시			新北市平溪區	TR234	1.00	TR236	1.7												
TR236		236	菁桐	Jingtong	菁桐	せいとう	칭동			新北市平溪區	TR235	1.70														
route	272D75		內灣線	Neiwan Line	内湾線																					
TR115A		115	新竹	Hsinchu	新竹	しんちく	신주			新竹市東區	TR114	5.80	TR241	8												
TR241		241	竹中	Zhuzhong	竹中	たけなか	주종			新竹縣竹東鎮	TR115A	8.00	TR242	2.5												
TR242		242	上員	Shangyuan	上員	じょういん	샹위엔			新竹縣竹東鎮	TR241	2.50	TR249	4.5												
TR249		249	榮華	Ronghua	栄華	えいか	롱화			新竹縣竹東鎮	TR242	4.50	TR243	1.6												
TR243		243	竹東	Zhudong	竹東	ちくとう	주동			新竹縣竹東鎮	TR249	1.60	TR244	3.4												
TR244		244	橫山	Hengshan	横山	よこやま	헝샨			新竹縣橫山鄉	TR243	3.40	TR245	2.2												
TR245		245	九讚頭	Jiuzantou	九讃頭	きゅうさんとう	져우잔도우			新竹縣橫山鄉	TR244	2.20	TR246	2.2												
TR246		246	合興	Hexing	合興	ごうきょう	허싱			新竹縣橫山鄉	TR245	2.20	TR247	1.3												
TR247		247	富貴	Fugui	富貴	ふき	푸궤이			新竹縣橫山鄉	TR246	1.30	TR248	2.2												
TR248		248	內灣	Neiwan	内湾	ないわん	네이완			新竹縣橫山鄉	TR247	2.20														
route	272D75		集集線	Jiji Line	集集線																					
TR155A		155	二水	Ershui	二水	にすい	얼쉐이			彰化縣二水鄉	TR154	5.80	TR251	2.9												
TR251		251	源泉	Yuanquan	源泉	げんせん	위엔취엔			彰化縣二水鄉	TR155A	2.90	TR252	7.9												
TR252		252	濁水	Zhuoshui	濁水	だくすい	줘쉐이			南投縣名間鄉	TR251	7.90	TR253	4.9												
TR253		253	龍泉	Longquan	龍泉	りゅうせん	롱취엔			南投縣集集鎮	TR252	4.90	TR254	4.4												
TR254		254	集集	Jiji	集集	しゅうしゅう	지지			南投縣集集鎮	TR253	4.40	TR255	7.3												
TR255		255	水里	Shuili	水里	みずさと	쉐니리			南投縣水里鄉	TR254	7.30	TR256	2.3												
TR256		256	車埕	Checheng	車埕	しゃてい	처청			南投縣水里鄉	TR255	2.30														
route	272D75		林口線	Linkou Line	林口線																					
TR106A		106	桃園	Taoyuan	桃園	とうえん	타오위엔			桃園市桃園區	TR105	8.20	TY001	2.1												
TY001			桃園高中	Taoyuan Senior High School	桃園高中	とうえんこうこう	타오위엔 고교			桃園市桃園區	TR106A	2.10	TY002	2												
TY002			寶山	Baoshan	宝山	たからやま	바오샨			桃園市桃園區	TY001	2.00	TY003	4.2												
TY003			南祥	Nanxiang	南祥	なんしょう	난샹			桃園市龜山區	TY002	4.20	TY004	3.4												
TY004			長興	Changxing	長興	ちょうきょう	챵싱			桃園市蘆竹區	TY003	3.40	TY005	2.1												
TY005			海山	Haishan	海山	かいざん	하이샨			桃園市蘆竹區	TY004	2.10	TY006	1.8												
TY006			海湖	Haihu	海湖	かいこ	하이후			桃園市蘆竹區	TY005	1.80														
route	272D75		沙崙線	Shalun Line	沙崙線																					
TR177A		177	中洲	Zhongzhou	中洲	なかす	종조우			臺南市仁德區	TR176	4.00	TR283	2.6												
TR283		283	長榮大學	Chang Jung Christian University	長栄大學	ちょうえいだいがく	창롱 대학			臺南市歸仁區	TR177A	2.60	TR284	2.7												
TR284		284	沙崙	Shalun	沙崙	さりん	사룬			臺南市歸仁區	TR283	2.70														
route	272D75		舊山線	Old Mountian Line	舊山線																					
TR140A		140	三義	Sanyi	三義	さんぎ	산이			苗栗縣三義鄉	TR139	7.40	TR141	5												
TR141		141	勝興	Shengxing	勝興	しょうきょう	성싱			苗栗縣三義鄉	TR140A	5.00	ML001	3.2												
ML001			魚藤坪	Yutengping	魚藤坪	ぎょとうへい	위텅핑			苗栗縣三義鄉	TR141	3.20	TR142x	5.4												
TR142x		142	泰安	Tai'an	泰安	たいあん	다이안			臺中市后里區	ML001	5.40														
sys			台灣高鐵	Taiwan High Speed Railway	台湾高速鉄道																					
route	F5A35B		台灣高鐵	THSR	台湾高速鉄道																					
thsr-01		NAG	南港	Nangang	南港	なんこう	난강			台北市南港區			thsr-02	9.174												
thsr-02		TPE	台北	Taipei	台北	たいぺい	타이베이			台北市中正區	thsr-01	9.17	thsr-03	7.216												
thsr-03		BAC	板橋	Banciao	板橋	いたばし	반치아오			新北市板橋區	thsr-02	7.22	thsr-04	29.165												
thsr-04		TAY	桃園	Taoyuan	桃園	とうえん	타오위엔			桃園市中壢區	thsr-03	29.17	thsr-05	29.894												
thsr-05		HSC	新竹	Hsinchu	新竹	しんちく	신주			新竹縣竹北市	thsr-04	29.89	thsr-06	32.686												
thsr-06		MIL	苗栗	Miaoli	苗栗	びょうりつ	먀오리			苗栗縣後龍鎮	thsr-05	32.69	thsr-07	60.868												
thsr-07		TAC	台中	Taichung	台中	たいちゅう	타이중			台中市烏日區	thsr-06	60.87	thsr-08	28.153												
thsr-08		CHH	彰化	Changhua	彰化	しょうか	쟝화			彰化縣田中鎮	thsr-07	28.15	thsr-09	24.594												
thsr-09		YUL	雲林	Yunlin	雲林	うんりん	윈린			雲林縣虎尾鎮	thsr-08	24.59	thsr-10	33.105												
thsr-10		CHY	嘉義	Chiayi	嘉義	かぎ	쟈이			嘉義縣太保市	thsr-09	33.11	thsr-11	62.275												
thsr-11		TAN	台南	Tainan	台南	たいなん	타이난			台南市歸仁區	thsr-10	62.28	thsr-12	31.328												
thsr-12		ZUY	左營	Zuoying	左営	ざえい	쭤잉			高雄市左營區	thsr-11	31.33														
																										
																										
																										
sys			JR東日本	JR East	JR東日本																					
route	67C33F		山手線	Yamanote Line	山手線																					
jre-JY01		JY01	東京	Tōkyō	東京	とうきょう	도쿄			東京都千代田区	jre-JY30	0.80	jre-JY02	1.30												
jre-JY02		JY02	神田	Kanda	神田	かんだ	간다	アース製薬本社前		東京都千代田区	jre-JY01	1.30	jre-JY03	0.70												
jre-JY03		JY03	秋葉原	Akihabara	秋葉原	あきはばら	아키하바라			東京都千代田区	jre-JY02	0.70	jre-JY04	1.00												
jre-JY04		JY04	御徒町	Okachimachi	御徒町	おかちまち	오카치마치			東京都台東区	jre-JY03	1.00	jre-JY05	0.60												
jre-JY05		JY05	上野	Ueno	上野	うえの	우에노			東京都台東区	jre-JY04	0.60	jre-JY06	1.10												
jre-JY06		JY06	鶯谷	Uguisudani	鶯谷	うぐいすだに	우구이스다니			東京都台東区	jre-JY05	1.10	jre-JY07	1.10												
jre-JY07		JY07	日暮里	Nippori	日暮里	にっぽり	닛포리			東京都荒川区	jre-JY06	1.10	jre-JY08	0.50												
jre-JY08		JY08	西日暮里	Nishi-Nippori	西日暮里	にしにっぽり	니시닛포리			東京都荒川区	jre-JY07	0.50	jre-JY09	0.80												
jre-JY09		JY09	田端	Tabata	田端	たばた	다바타			東京都北区	jre-JY08	0.80	jre-JY10	1.60												
jre-JY10		JY10	駒込	Komagome	駒込	こまごめ	고마고메			東京都豊島区	jre-JY09	1.60	jre-JY11	0.70												
jre-JY11		JY11	巢鴨	Sugamo	巣鴨	すがも	스가모			東京都豊島区	jre-JY10	0.70	jre-JY12	1.10												
jre-JY12		JY12	大塚	Ōtsuka	大塚	おおつか	오쓰카			東京都豊島区	jre-JY11	1.10	jre-JY13	1.80												
jre-JY13		JY13	池袋	Ikebukuro	池袋	いけぶくろ	이케부쿠로			東京都豊島区	jre-JY12	1.80	jre-JY14	1.20												
jre-JY14		JY14	目白	Mejiro	目白	めじろ	메지로			東京都豊島区	jre-JY13	1.20	jre-JY15	0.90												
jre-JY15		JY15	高田馬場	Takadanobaba	高田馬場	たかだのばば	다카다노바바			東京都新宿区	jre-JY14	0.90	jre-JY16	1.40												
jre-JY16		JY16	新大久保	Shin-Ōkubo	新大久保	しんおおくぼ	신오쿠보			東京都新宿区	jre-JY15	1.40	jre-JY17	1.30												
jre-JY17		JY17	新宿	Shinjuku	新宿	しんじゅく	신주쿠			東京都新宿区	jre-JY16	1.30	jre-JY18	0.70												
jre-JY18		JY18	代代木	Yoyogi	代々木	よよぎ	요요기			東京都渋谷区	jre-JY17	0.70	jre-JY19	1.50												
jre-JY19		JY19	原宿	Harajuku	原宿	はらじゅく	하라주쿠			東京都渋谷区	jre-JY18	1.50	jre-JY20	1.20												
jre-JY20		JY20	澀谷	Shibuya	渋谷	しぶや	시부야			東京都渋谷区	jre-JY19	1.20	jre-JY21	1.60												
jre-JY21		JY21	惠比壽	Ebisu	恵比寿	えびす	에비스			東京都渋谷区	jre-JY20	1.60	jre-JY22	1.50												
jre-JY22		JY22	目黑	Meguro	目黒	めぐろ	메구로			東京都品川区	jre-JY21	1.50	jre-JY23	1.20												
jre-JY23		JY23	五反田	Gotanda	五反田	ごたんだ	고탄다			東京都品川区	jre-JY22	1.20	jre-JY24	0.90												
jre-JY24		JY24	大崎	Ōsaki	大崎	おおさき	오사키			東京都品川区	jre-JY23	0.90	jre-JY25	2.00												
jre-JY25		JY25	品川	Shinagawa	品川	しながわ	시나가와			東京都港区	jre-JY24	2.00	jre-JY26	0.90												
jre-JY26		JY26	高輪Gateway	Tanakawa Gateway	高輪ゲートウェイ	たかなわげーとうぇい	다카나와 게이트웨이			東京都港区	jre-JY25	0.90	jre-JY27	1.30												
jre-JY27		JY27	田町	Tamachi	田町	たまち	다마치			東京都港区	jre-JY26	1.30	jre-JY28	1.50												
jre-JY28		JY28	濱松町	Hamamatsuchō	浜松町	はままつちょう	하마마쓰초			東京都港区	jre-JY27	1.50	jre-JY29	1.20												
jre-JY29		JY29	新橋	Shimbashi	新橋	しんばし	신바시			東京都港区	jre-JY28	1.20	jre-JY30	1.10												
jre-JY30		JY30	有樂町	Yūrakuchō	有楽町	ゆうらくちょう	유라쿠초			東京都千代田区	jre-JY29	1.10	jre-JY30	0.80												
route	D56822		中央線快速	Chūō Line (Rapid)	中央線快速																					
jre-JC01		JC01	東京	Tōkyō	東京	とうきょう	도쿄			東京都千代田区			jre-JC02	1.30												
jre-JC02		JC02	神田	Kanda	神田	かんだ	간다	アース製薬本社前		東京都千代田区	jre-JC01	1.30	jre-JC03	1.30												
jre-JC03		JC03	御茶之水	Ochanomizu	御茶ノ水	おちゃのみず	오차노미즈			東京都千代田区	jre-JC02	1.30	jre-JC04	4.00												
jre-JC04		JC04	四谷	Yotsuya	四ッ谷	よつや	요쓰야			東京都新宿区	jre-JC03	4.00	jre-JC05	3.70												
jre-JC05		JC05	新宿	Shinjuku	新宿	しんじゅく	신주쿠			東京都新宿区	jre-JC04	3.70	jre-JC06	4.40												
jre-JC06		JC06	中野	Nakano	中野	なかの	나카노			東京都中野区	jre-JC05	4.40	jre-JC07	1.40												
jre-JC07		JC07	高圓寺	Kōenji	高円寺	こうえんじ	고엔지			東京都杉並区	jre-JC06	1.40	jre-JC08	1.20												
jre-JC08		JC08	阿佐谷	Asagaya	阿佐ヶ谷	あさがや	아사가야			東京都杉並区	jre-JC07	1.20	jre-JC09	1.40												
jre-JC09		JC09	荻窪	Ogikubo	荻窪	おぎくぼ	오기쿠보			東京都杉並区	jre-JC08	1.40	jre-JC10	1.90												
jre-JC10		JC10	西荻窪	Nishi-Ogikubo	西荻窪	にしおぎくぼ	니시오기쿠보			東京都杉並区	jre-JC09	1.90	jre-JC11	1.90												
jre-JC11		JC11	吉祥寺	Kichijōji	吉祥寺	きちじょうじ	기치조지			東京都武蔵野市	jre-JC10	1.90	jre-JC12	1.60												
jre-JC12		JC12	三鷹	Mitaka	三鷹	みたか	미타카			東京都三鷹市	jre-JC11	1.60	jre-JC13	1.60												
jre-JC13		JC13	武藏境	Musashi-Sakai	武蔵境	むさしさかい	무사시사카이			東京都武蔵野市	jre-JC12	1.60	jre-JC14	1.70												
jre-JC14		JC14	東小金井	Higashi-Koganei	東小金井	ひがしこがねい	히가시코가네이			東京都小金井市	jre-JC13	1.70	jre-JC15	1.70												
jre-JC15		JC15	武藏小金井	Musashi-Koganei	武蔵小金井	むさしこがねい	무사시코가네이			東京都小金井市	jre-JC14	1.70	jre-JC16	2.30												
jre-JC16		JC16	國分寺	Kokubunji	国分寺	こくぶんじ	고쿠분지			東京都国分寺市	jre-JC15	2.30	jre-JC17	1.40												
jre-JC17		JC17	西國分寺	Nishi-Kokubunji	西国分寺	にしこくぶんじ	니시코쿠분지			東京都国分寺市	jre-JC16	1.40	jre-JC18	1.70												
jre-JC18		JC18	國立	Kunitachi	国立	くにたち	구니타치			東京都国立市	jre-JC17	1.70	jre-JC19	3.00												
jre-JC19		JC19	立川	Tachikawa	立川	たちかわ	다치카와			東京都立川市	jre-JC18	3.00	jre-JC20	3.30												
jre-JC20		JC20	日野	Hino	日野	ひの	히노			東京都日野市	jre-JC19	3.30	jre-JC21	2.30												
jre-JC21		JC21	豐田	Toyoda	豊田	とよだ	도요다			東京都日野市	jre-JC20	2.30	jre-JC22	4.30												
jre-JC22		JC22	八王子	Hachiōji	八王子	はちおうじ	하치오지			東京都八王子市	jre-JC21	4.30	jre-JC23	2.40												
jre-JC23		JC23	西八王子	Nishi-Hachiōji	西八王子	にしはちおうじ	니시하치오지			東京都八王子市	jre-JC22	2.40	jre-JC24	3.30												
jre-JC24		JC24	高尾	Takao	高尾	たかお	다카오			東京都八王子市	jre-JC23	3.30														
																										
																										
sys			東京Metro	Tokyo Metro	東京メトロ																					
route	#FF9500		銀座線	Ginza Line	銀座線																					
tkm-G01		G01	澀谷	Shibuya	渋谷	しぶや	시부야			東京都渋谷区			tkm-G02	1.3												
tkm-G02		G02	表參道	Omotesandō	表参道	おもてさんどう	오모테산도			東京都港区	tkm-G01	1.30	tkm-G03	0.7												
tkm-G03		G03	外苑前	Gaiemmae	外苑前	がいえんまえ	가이엔마에			東京都港区	tkm-G02	0.70	tkm-G04	0.7												
tkm-G04		G04	青山一丁目	Aoyama-itchōme	青山一丁目	あおやまいっちょうめ	아오야마이치초메			東京都港区	tkm-G03	0.70	tkm-G05	1.1												
tkm-G05		G05	赤坂見附	Akasaka-mitsuke	赤坂見附	あかさかみつけ	아카사카미쓰케			東京都港区	tkm-G04	1.10	tkm-G06	0.6												
tkm-G06		G06	溜池山王	Tameike-sannō	溜池山王	ためいけさんのう	다메이케산노			東京都千代田区	tkm-G05	0.60	tkm-G07	1.1												
tkm-G07		G07	虎之門	Toranomon	虎ノ門	とらのもん	도라노몬			東京都港区	tkm-G06	1.10	tkm-G08	1												
tkm-G08		G08	新橋	Shimbashi	新橋	しんばし	신바시			東京都港区	tkm-G07	1.00	tkm-G09	0.8												
tkm-G09		G09	銀座	Ginza	銀座	ぎんざ	긴자			東京都中央区	tkm-G08	0.80	tkm-G10	0.7												
tkm-G10		G10	京橋	Kyōbashi	京橋	きょうばし	교바시			東京都中央区	tkm-G09	0.70	tkm-G11	0.7												
tkm-G11		G11	日本橋	Nihombashi	日本橋	にほんばし	니혼바시			東京都中央区	tkm-G10	0.70	tkm-G12	1												
tkm-G12		G12	三越前	Mitsukoshimae	三越前	みつこしまえ	미쓰코시마에			東京都中央区	tkm-G11	1.00	tkm-G13	0.7												
tkm-G13		G13	神田	Kanda	神田	かんだ	간다			東京都千代田区	tkm-G12	0.70	tkm-G14	0.7												
tkm-G14		G14	末廣町	Suehirochō	末広町	すえひろちょう	수에히로초			東京都千代田区	tkm-G13	0.70	tkm-G15	1												
tkm-G15		G15	上野廣小路	Ueno-hirokōji	上野広小路	うえのひろこうじ	우에노히로코지			東京都台東区	tkm-G14	1.00	tkm-G16	0.7												
tkm-G16		G16	上野	Ueno	上野	うえの	우에노			東京都台東区	tkm-G15	0.70	tkm-G17	1.2												
tkm-G17		G17	稲荷町	Inarichō	稲荷町	いなりちょう	이나리초			東京都台東区	tkm-G16	1.20	tkm-G18	0.7												
tkm-G18		G18	田原町	Tawaramachi	田原町	たわらまち	다와라마치			東京都台東区	tkm-G17	0.70	tkm-G19	0.6												
tkm-G19		G19	淺草	Asakusa	浅草	あさくさ	아사쿠사			東京都台東区	tkm-G18	0.60														
route	#F62E36		丸之內線	Marunouchi Line	丸ノ内線																					
tkm-M01		M01	荻窪	Ogikubo	荻窪	おぎくぼ	오기쿠보			東京都杉並区			tkm-M02	1.5												
tkm-M02		M02	南阿佐谷	Minami-asagaya	南阿佐ヶ谷	みなみあさがや	미나미아사가야			東京都杉並区	tkm-M01	1.50	tkm-M03	1.2												
tkm-M03		M03	新高圓寺	Shin-kōenji	新高円寺	しんこうえんじ	신코엔지			東京都杉並区	tkm-M02	1.20	tkm-M04	0.9												
tkm-M04		M04	東高圓寺	Higashi-kōenji	東高円寺	ひがしこうえんじ	히가시코엔지			東京都杉並区	tkm-M03	0.90	tkm-M05	1												
tkm-M05		M05	新中野	Shin-nakano	新中野	しんなかの	신나카노			東京都中野区	tkm-M04	1.00	tkm-M06	1.1												
tkm-M06		M06	中野坂上	Nakano-sakaue	中野坂上	なかのさかうえ	나카노사카우에			東京都中野区	tkm-M05	1.10	tkm-M07	1.1												
tkm-M07		M07	西新宿	Nishi-shinjuku	西新宿	にししんじゅく	니시신주쿠			東京都新宿区	tkm-M06	1.10	tkm-M08	0.8												
tkm-M08		M08	新宿	Shinjuku	新宿	しんじゅく	신주쿠			東京都新宿区	tkm-M07	0.80	tkm-M09	0.3												
tkm-M09		M09	新宿三丁目	Shinjuku-sanchōme	新宿三丁目	しんじゅくさんちょうめ	신주쿠산초메			東京都新宿区	tkm-M08	0.30	tkm-M10	0.7												
tkm-M10		M10	新宿御苑前	Shinjuku-gyoemmae	新宿御苑前	しんじゅくぎょえんまえ	신주쿠교엔마에			東京都新宿区	tkm-M09	0.70	tkm-M11	0.9												
tkm-M11		M11	四谷三丁目	Yotsuya-sanchōme	四谷三丁目	よつやさんちょうめ	요쓰야산초메			東京都新宿区	tkm-M10	0.90	tkm-M12	1												
tkm-M12		M12	四谷	Yotsuya	四ツ谷	よつや	요쓰야			東京都新宿区	tkm-M11	1.00	tkm-M13	1.3												
tkm-M13		M13	赤坂見附	Akasaka-mitsuke	赤坂見附	あかさかみつけ	아카사카미쓰케			東京都港区	tkm-M12	1.30	tkm-M14	0.9												
tkm-M14		M14	國會議事堂前	Kokkai-gijidōmae	国会議事堂前	こっかいぎじどうまえ	고카이기지도마에			東京都千代田区	tkm-M13	0.90	tkm-M15	0.7												
tkm-M15		M15	霞之關	Kasumigaseki	霞ケ関	かすみがせき	가스미가세키			東京都千代田区	tkm-M14	0.70	tkm-M16	1												
tkm-M16		M16	銀座	Ginza	銀座	ぎんざ	긴자			東京都中央区	tkm-M15	1.00	tkm-M17	1.1												
tkm-M17		M17	東京	Tōkyō	東京	とうきょう	도쿄			東京都千代田区	tkm-M16	1.10	tkm-M18	0.6												
tkm-M18		M18	大手町	Ōtemachi	大手町	おおてまち	오테마치			東京都千代田区	tkm-M17	0.60	tkm-M19	0.9												
tkm-M19		M19	淡路町	Awajichō	淡路町	あわじちょう	아와지초			東京都千代田区	tkm-M18	0.90	tkm-M20	0.8												
tkm-M20		M20	御茶之水	Ochanomizu	御茶ノ水	おちゃのみず	오차노미즈			東京都文京区	tkm-M19	0.90	tkm-M21	0.8												
tkm-M21		M21	本鄉三丁目	Hongō-sanchōme	本郷三丁目	ほんごうさんちょうめ	혼고산초메			東京都文京区	tkm-M20	0.80	tkm-M22	0.8												
tkm-M22		M22	後樂園	Kōrakuen	後楽園	こうらくえん	고라쿠엔			東京都文京区	tkm-M21	0.80	tkm-M23	1.8												
tkm-M23		M23	茗荷谷	Myōgadani	茗荷谷	みょうがだに	묘가다니			東京都文京区	tkm-M22	1.80	tkm-M24	1.2												
tkm-M24		M24	新大塚	Shin-ōtsuka	新大塚	しんおおつか	신오쓰카			東京都文京区	tkm-M23	1.20	tkm-M25	1.8												
tkm-M25		M25	池袋	Ikebukuro	池袋	いけばくろ	이케부쿠로			東京都豊島区	tkm-M24	1.80														
tkm-m03		m03	方南町	Hōnanchō	方南町	ほうなんちょう	호난초			東京都杉並区			tkm-m04	1.3												
tkm-m04		m04	中野富士見町	Nakano-fujimichō	中野富士見町	なかのふじみちょう	나카노후지미초			東京都中野区	tkm-m03	1.30	tkm-m05	0.6												
tkm-m05		m05	中野新橋	Nakano-shimbashi	中野新橋	なかのしんばし	나카노신바시			東京都中野区	tkm-m04	0.60	tkm-M06	1.3												
route	#B5B5AC		日比谷線	Hibiya Line	日比谷線																					
tkm-H01		H01	中目黑	Naka-meguro	中目黒	なかめぐろ	나카메구로			東京都目黒区			tkm-H02	1												
tkm-H02		H02	惠比壽	Ebisu	恵比寿	えびす	에비스			東京都渋谷区	tkm-H01	1.00	tkm-H03	1.5												
tkm-H03		H03	廣尾	Hiro-o	広尾	ひろお	히로오			東京都港区	tkm-H02	1.50	tkm-H04	1.1												
tkm-H04		H04	六本木	Roppongi	六本木	ろっぽんぎ	롯폰기			東京都港区	tkm-H03	1.10	tkm-H05	1.5												
tkm-H05		H05	神谷町	Kamiyachō	神谷町	かみやちょう	가미야초			東京都港区	tkm-H04	1.50	tkm-H06	0.5												
tkm-H06		H06	虎門之丘	Toranomon Hills	虎ノ門ヒルズ	とらのもんひるず	도라노몬 힐스			東京都港区	tkm-H05	0.50	tkm-H07	0.8												
tkm-H07		H07	霞ケ関	Kasumigaseki	霞ケ関	かすみがせき	가스미가세키			東京都千代田区	tkm-H06	0.80	tkm-H08	1												
tkm-H08		H08	日比谷	Hibiya	日比谷	ひびや	히비야			東京都千代田区	tkm-H07	1.00	tkm-H09	0.4												
tkm-H09		H09	銀座	Ginza	銀座	ぎんざ	긴자			東京都中央区	tkm-H08	0.40	tkm-H10	0.4												
tkm-H10		H10	東銀座	Higashi-ginza	東銀座	ひがしぎんざ	히가시긴자			東京都中央区	tkm-H09	0.40	tkm-H11	0.6												
tkm-H11		H11	築地	Tsukiji	築地	つきじ	쓰키지			東京都中央区	tkm-H10	0.60	tkm-H12	1												
tkm-H12		H12	八丁堀	Hatchōbori	八丁堀	はっちょうぼり	핫초보리			東京都中央区	tkm-H11	1.00	tkm-H13	0.5												
tkm-H13		H13	茅場町	Kayabachō	茅場町	かやばちょう	가야바초			東京都中央区	tkm-H12	0.50	tkm-H14	0.9												
tkm-H14		H14	人形町	Ningyōchō	人形町	にんぎょうちょう	닝교초			東京都中央区	tkm-H13	0.90	tkm-H15	0.6												
tkm-H15		H15	小傳馬町	Kodemmachō	小伝馬町	こでんまちょう	고덴마초			東京都中央区	tkm-H14	0.60	tkm-H16	0.7												
tkm-H16		H16	秋葉原	Akihabara	秋葉原	あきはばら	아키하바라			東京都千代田区	tkm-H15	0.70	tkm-H17	1												
tkm-H17		H17	仲御徒町	Naka-okachimachi	仲御徒町	なかおかちまち	나카오카치마치			東京都台東区	tkm-H16	1.00	tkm-H18	0.5												
tkm-H18		H18	上野	Ueno	上野	うえの	우에노			東京都台東区	tkm-H17	0.50	tkm-H19	1.2												
tkm-H19		H19	入谷	Iriya	入谷	いりや	이리야			東京都台東区	tkm-H18	1.20	tkm-H20	1.2												
tkm-H20		H20	三之輪	Minowa	三ノ輪	みのわ	미노와			東京都台東区	tkm-H19	1.20	tkm-H21	0.8												
tkm-H21		H21	南千住	Minami-senju	南千住	みなみせんじゅ	미나미센주			東京都荒川区	tkm-H20	0.80	tkm-H22	1.3												
tkm-H22		H22	北千住	Kita-senju	北千住	きたせんじゅ	기타센주			東京都足立区	tkm-H21	1.30														
route	#009BBF		東西線	Tozai Line	東西線																					
tkm-T01		T01	中野	Nakano	中野	なかの	나카노			東京都中野区			tkm-T02	1.9												
tkm-T02		T02	落合	Ochiai	落合	おちあい	오치아이			東京都新宿区	tkm-T01	1.90	tkm-T03	1.9												
tkm-T03		T03	高田馬場	Takadanobaba	高田馬場	たかだのばば	다카다노바바			東京都新宿区	tkm-T02	1.90	tkm-T04	1.7												
tkm-T04		T04	早稻田	Waseda	早稲田	わせだ	와세다			東京都新宿区	tkm-T03	1.70	tkm-T05	1.2												
tkm-T05		T05	神樂坂	Kagurazaka	神楽坂	かぐらざか	가구라자카			東京都新宿区	tkm-T04	1.20	tkm-T06	1.2												
tkm-T06		T06	飯田橋	Iidabashi	飯田橋	いいだばし	이이다바시			東京都新宿区	tkm-T05	1.20	tkm-T07	0.7												
tkm-T07		T07	九段下	Kudanshita	九段下	くだんした	구단시타			東京都千代田区	tkm-T06	0.70	tkm-T08	1												
tkm-T08		T08	竹橋	Takebashi	竹橋	たけばし	다케바시			東京都千代田区	tkm-T07	1.00	tkm-T09	1												
tkm-T09		T09	大手町	Ōtemachi	大手町	おおてまち	오테마치			東京都千代田区	tkm-T08	1.00	tkm-T10	0.8												
tkm-T10		T10	日本橋	Nihombashi	日本橋	にほんばし	니혼바시			東京都中央区	tkm-T09	0.80	tkm-T11	0.7												
tkm-T11		T11	茅場町	Kayabachō	茅場町	かやばちょう	가야바초			東京都中央区	tkm-T10	0.70	tkm-T12	1.8												
tkm-T12		T12	門前仲町	Monzen-nakachō	門前仲町	もんぜんなかちょう	몬젠나카초			東京都江東区	tkm-T11	1.80	tkm-T13	1.1												
tkm-T13		T13	木場	Kiba	木場	きば	기바			東京都江東区	tkm-T12	1.10	tkm-T14	1.1												
tkm-T14		T14	東陽町	Tōyōchō	東陽町	とうようちょう	도요초			東京都江東区	tkm-T13	1.10	tkm-T15	1.2												
tkm-T15		T15	南砂町	Minami-sunamachi	南砂町	みなみすなまち	미나미스나마치			東京都江東区	tkm-T14	1.20	tkm-T16	2.7												
tkm-T16		T16	西葛西	Nishi-kasai	西葛西	にしかさい	니시카사이			東京都江戸川区	tkm-T15	2.70	tkm-T17	1.2												
tkm-T17		T17	葛西	Kasai	葛西	かさい	가사이			東京都江戸川区	tkm-T16	1.20	tkm-T18	1.9												
tkm-T18		T18	浦安	Urayasu	浦安	うらやす	우라야스			千葉県浦安市	tkm-T17	1.90	tkm-T19	1.3												
tkm-T19		T19	南行德	Minami-gyōtoku	南行徳	みなみぎょうとく	미나미교토쿠			千葉県市川市	tkm-T18	1.30	tkm-T20	1.2												
tkm-T20		T20	行德	Gyōtoku	行徳	ぎょうとく	교토쿠			千葉県市川市	tkm-T19	1.20	tkm-T21	1.3												
tkm-T21		T21	妙典	Myōden	妙典	みょうでん	묘덴			千葉県市川市	tkm-T20	1.30	tkm-T22	2.1												
tkm-T22		T22	原木中山	Baraki-nakayama	原木中山	ばらきなかやま	바라키나카야마			千葉県船橋市	tkm-T21	2.10	tkm-T23	1.9												
tkm-T23		T23	西船橋	Nishi-funabashi	西船橋	にしふなばし	니시후나바시			千葉県船橋市	tkm-T22	1.90														
route	#00BB85		千代田線	Chiyoda Line	千代田線																					
tkm-C01		C01	代代木上原	Yoyogi-uehara	代々木上原	よよぎうえはら	요요기우에하라			東京都渋谷区			tkm-C02	1.4												
tkm-C02		C02	代代木公園	Yoyogi-kōen	代々木公園	よよぎこうえん	요요기공원			東京都渋谷区	tkm-C01	1.40	tkm-C03	1												
