id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
trtc-BL13		BL13	善導寺	Shandao Temple	善導寺	ぜんどうじ	산다오사	華山	Huashan	台北市中正區	trtc-BL12	0.68	trtc-BL14	0.94												
trtc-BL14		BL14	忠孝新生	Zhongxiao Xinsheng	忠孝新生	ちゅうこうしんせい	중샤오 신성	台北科大	National Taipei University of Technology	台北市大安區	trtc-BL13	0.94	trtc-BL15	1.12												
trtc-BL15		BL15	忠孝復興	Zhongxiao Fuxing	忠孝復興	ちゅうこうふっこう	중샤오 푸싱			台北市大安區	trtc-BL14	1.12	trtc-BL16	0.67												
trtc-BL16		BL16	忠孝敦化	Zhongxiao Dunhua	忠孝敦化	ちゅうこうとんか	중샤오 둔화			台北市大安區	trtc-BL15	0.67	trtc-BL17	0.73												
trtc-BL17		BL17	國父紀念館	Sun Yat-Sen Memorial Hall	国父紀念館	こくふきねんかん	국부 기념관			台北市信義區	trtc-BL16	0.73	trtc-BL18	0.84												
trtc-BL18		BL18	市政府	Taipei City Hall	台北市政府	たいぺいしせいふ	타이베이 시청			台北市信義區	trtc-BL17	0.84	trtc-BL19	0.99												
trtc-BL19		BL19	永春	Yongchun	永春	えいしゅん	융춘			台北市信義區	trtc-BL18	0.99	trtc-BL20	0.82												
trtc-BL20		BL20	後山埤	Houshanpi	後山埤	こうさんひ	허우산피	五分埔商圈	Wufenpu Commercial Zone	台北市南港區	trtc-BL19	0.82	trtc-BL21	1.36												
trtc-BL21		BL21	昆陽	Kunyang	昆陽	こんよう	쿤양			台北市南港區	trtc-BL20	1.36	trtc-BL22	1.42												
trtc-BL22		BL22	南港	Nangang	南港	なんこう	난강			台北市南港區	trtc-BL21	1.42	trtc-BL23	1.09												
trtc-BL23		BL23	南港展覽館	Taipei Nangang Exhibition Center	南港展覧館	なんこうてんらんかん	난강 전람관			台北市南港區	trtc-BL22	1.09														
route	FCA311		中和新蘆線	Zhonghe-Xinlu Line	中和新蘆線																					
trtc-O01		O01	南勢角	Nanshijiao	南勢角	なんせいかく	난스자오			新北市中和區			trtc-O02	0.69												
trtc-O02		O02	景安	Jingan	景安	けいあん	징안			新北市中和區	trtc-O01	0.69	trtc-O03	1.15												
trtc-O03		O03	永安市場	Yongan Market	永安市場	ながやすいちば	융안 시장			新北市中和區	trtc-O02	1.15	trtc-O04	1.30												
trtc-O04		O04	頂溪	Dingxi	頂渓	ちょうけい	딩시			新北市永和區	trtc-O03	1.30	trtc-O05	2.16												
trtc-O05		O05	古亭	Guting	古亭	こてい	구팅			台北市中正區	trtc-O04	2.16	trtc-O06	1.25												
trtc-O06		O06	東門	Dongmen	東門	とうもん	둥먼			台北市中正區	trtc-O05	1.25	trtc-O07	1.18												
trtc-O07		O07	忠孝新生	Zhongxiao Xinsheng	忠孝新生	ちゅうこうしんせい	중샤오 신성	台北科大	National Taipei University of Technology	台北市大安區	trtc-O06	1.18	trtc-O08	1.15												
trtc-O08		O08	松江南京	Songjiang Nanjing	松江南京	しょうこうなんきん	송장 난징			台北市中山區	trtc-O07	1.15	trtc-O09	0.82												
trtc-O09		O09	行天宮	Xingtian Temple	行天宮	ぎょうてんぐう	싱톈궁			台北市中山區	trtc-O08	0.82	trtc-O10	0.92												
trtc-O10		O10	中山國小	Zhongshan Elementary School	中山小学校	なかやましょうがっこう	중산 초등학교	晴光商圈	Qingguang Commercial Zone	台北市中山區	trtc-O09	0.92	trtc-O11	0.66												
trtc-O11		O11	民權西路	Minquan W. Rd.	民権西路	みんけんせいろ	민취안시루			台北市中山區	trtc-O10	0.66	trtc-O12	0.68												
trtc-O12		O12	大橋頭	Daqiaotou	大橋頭	おおはしかしら	다차오터우	大橋國小	Daqiao Elementary School	台北市大同區	trtc-O11	0.68	trtc-O13	1.34												
trtc-O13		O13	台北橋	Taipei Bridge	台北橋	たいぺいきょう	타이베이 대교			新北市三重區	trtc-O12	1.34	trtc-O14	1.01												
trtc-O14		O14	菜寮	Cailiao	菜寮	さいりょう	차이랴오	新北市立醫院	New Taipei City Hospital	新北市三重區	trtc-O13	1.01	trtc-O15	0.89												
trtc-O15		O15	三重	Sanchong	三重	さんじゅう	싼충			新北市三重區	trtc-O14	0.89	trtc-O16	1.68												
trtc-O16		O16	先嗇宮	Xianse Temple	先嗇宮	せんしょうぐう	셴써궁			新北市三重區	trtc-O15	1.68	trtc-O17	1.29												
trtc-O17		O17	頭前庄	Touqianzhuang	頭前庄	とうぜんしょう	터우첸좡	臺北醫院	Taipei Hospital	新北市新莊區	trtc-O16	1.29	trtc-O18	1.01												
trtc-O18		O18	新莊	Xinzhuang	新荘	しんそう	신좡	新莊廟街	Xinzhuang Temple St.	新北市新莊區	trtc-O17	1.01	trtc-O19	1.83												
trtc-O19		O19	輔大	Fu Jen University	輔仁大学	ほじんだいがく	푸런 대학교			新北市新莊區	trtc-O18	1.83	trtc-O20	1.25												
trtc-O20		O20	丹鳳	Danfeng	丹鳳	たんほう	단펑			新北市新莊區	trtc-O19	1.25	trtc-O21	1.30												
trtc-O21		O21	迴龍	Huilong	廻龍	かいりゅう	후이룽	樂生	Lo-sheng	新北市新莊區	trtc-O20	1.30														
trtc-O49		O12	大橋頭	Daqiaotou	大橋頭	おおはしかしら	다차오터우	大橋國小	Daqiao Elementary School	台北市大同區	trtc-O11	0.68	trtc-O50	1.88												
trtc-O50		O50	三重國小	Sanchong Elementary School	三重小学校	みえしょうがっこう	싼충 초등학교			新北市三重區	trtc-O49	1.88	trtc-O51	1.20												
trtc-O51		O51	三和國中	Sanhe Junior High School	三和中学校	さんわちゅうがっこう	싼허 중학교			新北市三重區	trtc-O50	1.20	trtc-O52	1.01												
trtc-O52		O52	徐匯中學	St. Ignatius High School	徐匯高校	じょかいこうこう	쉬후이 고등학교			新北市蘆洲區	trtc-O51	1.01	trtc-O53	1.10												
trtc-O53		O53	三民高中	Sanmin Senior High School	三民高校	さんみんこうこう	싼민 고등학교			新北市蘆洲區	trtc-O52	1.10	trtc-O54	0.95												
trtc-O54		O54	蘆洲	Luzhou	芦洲	ろしゅう	루저우			新北市蘆洲區	trtc-O53	0.95														
route	007C59		松山新店線	Songshan-Xindian Line	松山新店線																					
trtc-G01		G01	新店	Xindian	新店	しんてん	신뎬	碧潭	Bitan	新北市新店區			trtc-G02	1.12												
trtc-G02		G02	新店區公所	Xindian District Office	新店区役所	しんてんくやくしょ	신뎬 구청			新北市新店區	trtc-G01	1.12	trtc-G03	0.90												
trtc-G03		G03	七張	Qizhang	七張	しちちょう	치장			新北市新店區	trtc-G02	0.90	trtc-G04	0.85												
trtc-G04		G04	大坪林	Dapinglin	大坪林	だいへいりん	다핑린			新北市新店區	trtc-G03	0.85	trtc-G05	1.15												
